2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
23.0,0.8237,1024.0,0.557,27000.0,0.2939,0.5672,47730.0,,2072.0,2072.0,1898.0,5352.0,8753.0,0.4745,9265,Suffolk University,2,1,25,24062
27.0,0.7427,1202.0,0.5303,26449.5,0.226,0.7359,42078.0,,1258.0,1258.0,1221.0,3788.0,8258.0,0.9967,13243,Calvin College,2,3,26,16881
,0.7897,,0.7,27000.0,0.2288,0.7083,49386.0,,1529.0,1529.0,1461.0,3129.0,8047.0,1.0,8810,Merrimack College,2,1,25,18189
24.0,0.3921,1091.0,0.4528,27000.0,0.2726,0.5401,36206.0,,493.0,493.0,469.0,1513.0,4904.0,0.9731,13227,Andrews University,2,3,26,15635
23.0,0.7341,1016.0,0.8681,24659.0,0.4654,0.5216,21019.0,,820.0,820.0,743.0,1423.0,8632.0,0.5412,10178,Massachusetts College of Liberal Arts,1,1,25,6016
,0.5008,,0.4481,21206.5,0.1987,0.8518,56964.0,,628.0,628.0,595.0,2099.0,9788.0,0.9486,22413,Mount Holyoke College,2,1,25,19709
21.0,0.9542,944.0,0.8032,27000.0,0.3786,0.6436,47997.0,,493.0,493.0,455.0,809.0,7125.0,0.4509,13945,Wheelock College,2,1,25,19956
,0.9213,,0.4156,26000.0,0.2831,0.4386,57591.0,,99.0,99.0,,231.0,5798.0,0.3252,14020,School of the Museum of Fine Arts at Tufts University,2,1,25,24981
19.0,0.4595,886.0,0.7465,27000.0,0.5274,0.3778,31447.0,,397.0,397.0,378.0,506.0,5093.0,0.5645,8737,Finlandia University,2,3,26,15308
,0.8132,,0.7881,23247.0,0.6578,0.6042,20786.0,,931.0,931.0,784.0,789.0,4090.0,1.0,7293,Grace Bible College,2,3,26,7934
,0.7094,775.0,0.6005,30996.0,0.5236,0.2929,39991.0,,230.0,230.0,188.0,448.0,6174.0,0.4286,10192,Pine Manor College,2,1,25,14872
,,,0.0,,0.0,,,,,,,33.0,3943.0,0.3902,25583,Saint John's Seminary,2,1,25,12535
,,,,,,,,,,,,,9150.0,0.7344,26037,New England College of Optometry,2,1,25,38385
,0.2447,,0.828,24500.0,0.6017,0.3944,32815.0,,2377.0,2377.0,1969.0,2681.0,7165.0,0.3602,4820,Robert Morris University Illinois,2,3,17,15974
20.0,0.7928,928.0,0.3605,25030.0,0.3038,0.2406,14108.0,,1915.0,1915.0,1718.0,4117.0,6604.0,0.469,6441,Indiana University-Northwest,1,3,18,5323
,,,0.7191,23894.5,0.3957,,,,140.0,140.0,127.0,239.0,6478.0,0.587,10198,Saint Anthony College of Nursing,2,3,17,21208
24.0,0.9521,1086.0,0.6947,24104.0,0.4004,0.5993,34922.0,,7323.0,7323.0,6554.0,10000.0,7135.0,1.0,4194,Indiana Wesleyan University-Marion,2,3,18,10658
21.0,0.7132,947.0,0.3559,20000.0,0.3072,0.3005,16179.0,,1615.0,1615.0,1496.0,2778.0,5969.0,0.5105,5865,Indiana University-Kokomo,1,3,18,5057
21.0,0.6224,961.0,0.367,20500.0,0.328,0.2849,15905.0,,1879.0,1879.0,1742.0,3173.0,6087.0,0.3679,5432,Indiana University-East,1,3,18,5782
23.0,0.5962,1050.0,0.6726,27000.0,0.3133,0.5393,39132.0,,959.0,959.0,911.0,1760.0,6437.0,1.0,8533,Anderson University,2,3,18,12797
21.0,0.9526,974.0,0.8259,25250.0,0.4148,0.5686,33930.0,,1106.0,1106.0,1040.0,1745.0,5872.0,0.4762,7307,University of Saint Francis-Fort Wayne,2,3,18,14598
,,,0.2571,19000.0,0.2824,0.0769,15535.0,,16544.0,16544.0,14273.0,36119.0,7903.0,0.0516,3330,University of Maryland-University College,1,2,24,9569
